[2541816, 1824, 'VERTEXES']
[2543640, 7788, 'SEGS']
[2551428, 852, 'SSECTORS']
[2552280, 5936, 'NODES']
[2558216, 1846, 'SECTORS']
[2560064, 631, 'REJECT']
[2560696, 14778, 'BLOCKMAP']
[2575476, 0, 'E4M1']
[2575476, 1410, 'THINGS']
[2576888, 6594, 'LINEDEFS']
[2583484, 19260, 'SIDEDEFS']
[2602744, 1756, 'VERTEXES']
[2604500, 8340, 'SEGS']
[2612840, 784, 'SSECTORS']
[2613624, 5460, 'NODES']
[2619084, 2106, 'SECTORS']
[2621192, 821, 'REJECT']
[2622016, 2440, 'BLOCKMAP']
[2624456, 0, 'E4M2']
[2624456, 2270, 'THINGS']
[2626728, 9590, 'LINEDEFS']
[2636320, 30420, 'SIDEDEFS']
[2666740, 2444, 'VERTEXES']
[2669184, 12960, 'SEGS']
[2682144, 1600, 'SSECTORS']
[2683744, 11172, 'NODES']
[2694916, 3172, 'SECTORS']
[2698088, 1861, 'REJECT']
[2699952, 4454, 'BLOCKMAP']
[2704408, 0, 'E4M3']
[2704408, 3840, 'THINGS']
[2708248, 11508, 'LINEDEFS']
[2719756, 36480, 'SIDEDEFS']
[2756236, 3136, 'VERTEXES']
[2759372, 16308, 'SEGS']
[2775680, 1816, 'SSECTORS']
[2777496, 12684, 'NODES']
[2790180, 4056, 'SECTORS']
[2794236, 3042, 'REJECT']
[2797280, 11338, 'BLOCKMAP']
[2808620, 0, 'E4M4']
[2808620, 1530, 'THINGS']
[2810152, 9072, 'LINEDEFS']
[2819224, 27750, 'SIDEDEFS']
[2846976, 2320, 'VERTEXES']
[2849296, 11628, 'SEGS']
[2860924, 1256, 'SSECTORS']
[2862180, 8764, 'NODES']
[2870944, 3198, 'SECTORS']
[2874144, 1892, 'REJECT']
[2876036, 4796, 'BLOCKMAP']
[2880832, 0, 'E4M5']
[2880832, 2670, 'THINGS']
[2883504, 14952, 'LINEDEFS']
[2898456, 51150, 'SIDEDEFS']
[2949608, 4176, 'VERTEXES']
[2953784, 22824, 'SEGS']
[2976608, 2696, 'SSECTORS']
[2979304, 18844, 'NODES']
